Student_ID,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Sample_Question_Practiced,Gender,Performance_Index
139,9,45,Yes,8,4,Male,44
140,5,56,No,7,8,Female,41
141,1,87,No,8,5,Male,58
142,3,88,Yes,4,4,Male,68
143,8,96,No,8,9,Male,94
144,6,59,Yes,4,9,Female,47
145,8,48,No,5,4,Male,40
146,9,98,Yes,7,7,Female,100
147,4,44,Yes,9,0,Male,23
148,1,62,No,4,4,Female,36
149,1,72,No,7,0,Female,47
150,4,77,Yes,8,6,Female,60
151,7,95,No,9,6,Female,83
152,2,53,Yes,8,9,Male,33
153,3,56,No,5,7,Female,36
154,1,96,No,8,6,Male,74
155,5,58,No,4,8,Male,42
156,1,72,Yes,5,7,Male,47
157,8,40,Yes,7,7,Female,31
158,1,52,No,5,2,Female,26
159,1,85,Yes,7,9,Male,58
160,2,66,No,6,3,Male,42
161,2,45,Yes,4,3,Male,18
162,6,98,No,4,0,Male,85
163,7,45,Yes,7,5,Male,36
164,5,72,Yes,8,1,Male,58
165,1,69,Yes,9,8,Female,45
166,1,85,Yes,8,0,Male,60
167,3,74,Yes,6,0,Female,56
168,2,62,Yes,7,9,Male,42
169,5,49,No,6,5,Female,33
170,6,90,No,7,0,Male,77
171,7,58,Yes,6,2,Male,51
172,4,90,No,7,9,Male,72
173,7,67,Yes,4,1,Male,57
174,8,62,No,6,8,Female,53
175,1,43,No,6,4,Female,16
176,6,59,No,7,5,Male,45
177,8,58,No,5,1,Female,49
178,5,81,Yes,5,7,Male,67
179,4,66,No,4,5,Male,49
180,2,96,No,8,7,Male,73
181,6,73,No,8,7,Female,65
182,6,43,Yes,4,0,Female,27
183,1,95,No,8,6,Female,72
184,9,77,Yes,9,1,Female,74
185,6,46,Yes,9,7,Male,38
186,3,87,No,9,1,Female,67
187,4,46,Yes,9,3,Male,28
188,4,89,No,7,1,Female,73
189,3,91,No,5,6,Male,72
190,3,65,No,4,4,Female,42
191,3,65,No,7,8,Female,47
192,4,93,No,9,4,Male,77
193,7,58,No,4,7,Female,49
194,4,48,No,5,1,Female,30
195,9,59,Yes,8,2,Male,54
196,1,81,Yes,7,5,Female,56
197,8,84,No,5,6,Female,75
198,7,89,No,4,9,Female,78
199,2,55,Yes,6,7,Male,32
200,8,93,No,7,2,Female,89
201,1,56,Yes,4,6,Female,29
202,9,61,Yes,4,7,Male,57
203,9,52,No,5,9,Female,48
204,2,51,No,4,5,Female,27
205,7,49,Yes,7,3,Female,38
206,3,40,Yes,9,5,Male,18
207,7,71,No,7,8,Male,66
208,9,69,No,4,2,Female,65
209,4,47,Yes,5,1,Female,27
210,1,60,Yes,7,4,Male,33
211,2,61,Yes,6,6,Male,37
212,1,57,No,9,2,Male,29
213,5,41,No,8,4,Male,26
214,5,87,No,5,3,Male,72
215,7,83,Yes,5,6,Male,77
216,9,48,Yes,8,1,Female,45
217,9,42,No,8,6,Male,41
218,3,93,Yes,7,1,Female,73
219,3,65,Yes,4,2,Female,43
220,3,60,Yes,4,4,Female,39
221,4,69,Yes,6,6,Female,54
222,8,67,Yes,9,5,Female,62
223,6,75,No,4,6,Male,63
224,8,65,No,6,5,Male,59
225,1,73,No,6,0,Male,46
226,8,47,No,5,4,Male,42
227,4,49,No,5,0,Female,30
228,1,87,Yes,9,6,Female,63
229,8,94,Yes,7,3,Male,89
230,4,82,Yes,8,4,Male,62
231,6,89,No,8,0,Female,77
232,8,93,Yes,9,7,Male,88
233,4,53,Yes,6,3,Female,35
234,3,79,Yes,9,2,Male,60
235,9,94,No,8,0,Male,92
236,3,54,Yes,6,3,Female,38
237,9,56,Yes,8,2,Female,56
238,2,92,No,7,7,Female,70
239,2,57,No,5,8,Female,35
240,2,71,Yes,5,4,Female,47
241,6,77,No,6,8,Male,66
242,3,62,Yes,9,0,Female,43
243,9,85,No,8,6,Male,81
244,4,62,Yes,4,6,Female,43
245,1,74,Yes,7,5,Male,46
246,4,78,No,8,3,Female,61
247,1,54,No,4,8,Female,27
248,5,92,No,7,2,Male,77
249,4,63,No,7,0,Female,43
250,8,67,Yes,5,1,Male,60
251,8,55,No,6,2,Male,48
252,7,55,Yes,8,1,Male,47
253,3,79,Yes,7,5,Female,60
254,1,78,Yes,8,6,Female,53
255,1,45,No,7,4,Female,19
256,3,41,Yes,9,4,Male,23
257,6,93,Yes,5,6,Female,81
258,7,52,No,6,5,Female,41
259,6,83,Yes,4,7,Female,71
260,6,86,Yes,4,8,Female,75
261,6,98,Yes,9,1,Male,89
262,3,48,No,5,1,Male,28
263,6,73,Yes,7,0,Female,60
264,8,56,Yes,5,6,Male,54
265,2,66,Yes,6,3,Male,41
266,5,68,No,4,8,Male,52
267,1,76,No,8,5,Male,53
268,1,82,No,4,6,Female,52
269,5,61,Yes,6,6,Female,47
270,3,90,Yes,7,7,Female,71
271,4,63,Yes,5,3,Male,42
272,3,46,Yes,4,2,Male,21
273,1,73,Yes,4,2,Male,48
274,1,87,No,8,9,Male,64
275,5,51,Yes,5,7,Male,38
276,6,62,Yes,8,2,Male,49
277,3,54,No,8,7,Male,35
278,9,72,No,7,1,Male,73
279,5,96,Yes,4,4,Female,81
280,8,52,No,9,4,Female,47
281,1,62,No,5,6,Male,36
282,5,77,No,7,4,Male,63
283,3,71,Yes,9,8,Male,52
284,1,84,No,7,2,Male,58
285,4,89,Yes,7,8,Female,77
286,5,74,No,6,0,Male,58
287,7,40,Yes,6,2,Female,33
288,1,86,Yes,7,3,Male,67
289,3,97,Yes,6,5,Male,76
290,2,84,No,5,9,Male,62
291,9,44,No,4,7,Female,37
292,6,96,No,9,6,Male,86
293,3,52,Yes,5,7,Male,37
294,8,93,No,4,5,Male,88
295,8,44,No,6,5,Female,38
296,2,99,Yes,9,5,Male,76
297,6,71,No,5,2,Male,57
298,7,90,Yes,8,9,Male,82
299,2,60,No,7,3,Female,35
300,2,63,Yes,4,5,Female,41
301,1,99,Yes,4,6,Female,75
302,8,57,No,8,2,Female,51
303,1,60,Yes,8,3,Female,34
304,9,93,No,7,5,Female,92
305,6,49,No,6,0,Male,39
306,7,63,No,5,6,Female,56
307,7,79,No,5,0,Male,69
308,3,86,Yes,5,9,Male,69
309,2,60,Yes,6,8,Male,40
310,9,64,Yes,7,9,Female,63
311,8,91,No,5,8,Female,86
312,7,99,No,4,8,Male,89
313,9,96,Yes,4,3,Female,94
314,4,98,Yes,4,1,Female,79
315,4,62,No,8,6,Female,44
316,1,61,No,8,3,Female,33
317,8,43,No,6,4,Female,36
318,3,73,Yes,5,0,Male,50
319,7,95,No,8,9,Male,94
320,2,45,Yes,4,5,Male,22
321,2,67,No,8,6,Female,44
322,7,70,Yes,4,2,Female,60
323,6,74,No,5,9,Female,64
324,3,78,Yes,6,1,Male,58
325,9,81,Yes,7,9,Male,78
326,6,62,Yes,7,6,Male,51
327,6,45,No,4,0,Male,30
328,1,55,Yes,8,1,Female,29
329,4,41,Yes,8,2,Male,22
330,6,63,No,4,3,Male,51
331,6,56,Yes,5,4,Male,45
332,5,84,Yes,4,3,Female,70
333,1,40,No,5,9,Female,10
334,8,45,Yes,6,2,Male,38
335,5,44,No,6,0,Male,30
336,5,96,Yes,4,6,Male,82
337,7,84,No,6,9,Female,74
338,4,99,Yes,8,5,Male,87
339,6,94,Yes,5,1,Male,77
340,4,89,Yes,7,1,Female,72
341,3,68,No,7,2,Male,51
342,7,51,Yes,6,7,Female,40
343,8,78,Yes,5,7,Female,72
344,4,86,No,8,9,Female,68
345,2,42,No,7,9,Female,22
346,3,87,No,8,9,Male,67
347,1,40,Yes,8,9,Female,18
348,8,66,Yes,7,7,Male,64
349,3,87,Yes,7,6,Female,66
350,7,63,No,6,1,Male,50
351,5,83,No,5,0,Female,68
352,5,58,Yes,4,5,Female,44
353,7,98,Yes,5,7,Female,90
354,9,47,No,4,0,Female,41
355,5,94,No,7,2,Female,83
356,1,83,No,8,0,Female,57
357,1,86,Yes,5,9,Female,64
358,2,41,No,8,8,Male,18
359,6,69,No,5,6,Male,62
360,9,69,No,9,7,Male,66
361,8,88,No,5,8,Male,85
362,5,78,Yes,8,2,Female,62
363,1,84,No,9,9,Female,62
364,7,71,Yes,6,1,Male,62
365,5,40,Yes,7,5,Female,26
366,6,77,No,6,4,Female,66
367,7,52,No,6,3,Female,43
368,3,50,Yes,5,5,Male,30
369,3,49,No,7,5,Male,25
370,5,87,Yes,9,2,Female,77
371,6,98,No,5,1,Female,88
372,9,65,Yes,4,8,Male,62
373,5,95,Yes,5,7,Female,82
374,1,94,Yes,9,3,Female,73
375,4,59,No,8,5,Female,44
376,5,56,Yes,5,2,Male,40
377,5,56,Yes,4,7,Male,39
378,7,43,No,5,2,Male,34
379,4,44,No,9,1,Female,27
380,1,99,Yes,4,6,Male,73
381,5,62,Yes,7,2,Female,46
382,7,85,No,9,8,Male,78
383,6,91,Yes,5,2,Male,80
384,5,49,No,4,7,Male,33
385,4,85,No,9,1,Female,68
386,2,67,No,7,8,Female,45
387,4,72,Yes,8,0,Male,56
388,3,82,No,6,2,Female,58
389,1,65,Yes,4,1,Male,37
390,8,94,Yes,8,6,Female,88
391,5,89,No,7,4,Male,75
392,4,87,No,8,7,Male,70
393,8,68,No,5,1,Male,62
394,7,66,No,6,7,Male,57
395,2,57,Yes,4,6,Male,32
396,1,79,Yes,9,4,Male,53
397,4,99,No,7,1,Male,82
398,8,49,Yes,6,9,Female,41
399,2,97,No,7,6,Female,75
400,3,81,Yes,8,9,Female,63
401,1,44,Yes,7,3,Female,17
402,1,49,Yes,7,3,Male,24
403,3,89,No,8,7,Male,69
404,5,60,Yes,8,5,Female,47
405,3,63,Yes,6,8,Female,43
406,1,77,Yes,4,1,Male,48
407,1,42,Yes,8,4,Male,17
408,8,79,No,6,5,Female,75
409,2,70,Yes,7,7,Female,54
410,3,80,No,7,3,Male,59
411,2,76,No,9,6,Female,56
412,3,41,Yes,5,6,Female,20
413,7,41,Yes,8,3,Female,34
414,1,78,No,6,0,Female,54
415,8,88,No,9,2,Female,83
416,2,81,No,6,1,Male,59
417,3,83,Yes,4,2,Male,63
418,9,73,Yes,9,4,Female,72
419,7,81,No,6,0,Male,70
420,4,59,No,8,4,Female,41
421,5,72,No,6,1,Female,54
422,2,43,Yes,5,3,Male,21
423,8,84,Yes,7,5,Male,83
424,4,83,No,7,8,Male,64
425,9,50,Yes,9,9,Male,51
426,5,81,No,6,5,Male,66
427,9,86,Yes,6,9,Male,83
428,4,44,No,6,1,Male,26
429,5,64,Yes,6,7,Female,49
430,9,88,Yes,5,4,Male,85
431,8,99,Yes,8,8,Female,95
432,3,76,Yes,5,9,Female,56
433,1,73,Yes,5,8,Male,50
434,3,48,Yes,5,3,Male,23
435,4,45,Yes,7,0,Female,26
436,2,57,No,5,8,Male,30
437,1,53,No,6,8,Female,28
438,7,58,No,5,7,Female,48
439,8,53,Yes,6,4,Female,46
440,7,79,Yes,9,4,Male,73
441,5,56,Yes,8,9,Female,45
442,1,99,No,7,5,Female,76
443,7,74,No,8,0,Female,71
444,7,68,No,9,8,Female,60
445,9,81,No,8,4,Male,77
446,3,56,No,7,6,Male,36
447,9,98,No,6,7,Male,96
448,1,82,Yes,9,4,Female,62
449,1,47,No,9,2,Female,22
450,4,40,Yes,6,5,Male,21
451,9,84,No,6,6,Male,79
452,6,92,No,7,3,Female,82
453,3,75,Yes,5,8,Female,55
454,1,46,Yes,4,3,Male,22
455,4,85,Yes,5,9,Male,70
456,9,44,No,5,1,Female,37
457,3,63,No,8,8,Male,42
458,9,67,Yes,4,3,Male,64
459,7,82,No,6,3,Male,72
460,4,56,Yes,5,9,Male,42
461,3,76,No,7,0,Female,56
462,5,59,No,5,1,Male,43
463,5,42,No,6,2,Male,24
464,3,76,Yes,5,6,Female,55
465,9,65,No,9,8,Female,64
466,4,54,Yes,8,4,Male,34
467,5,90,Yes,8,3,Female,78
468,4,87,Yes,5,1,Female,71
469,5,47,Yes,8,6,Male,33
470,7,52,Yes,7,5,Female,46
471,9,87,Yes,4,6,Male,86
472,7,42,Yes,5,7,Female,34
473,5,40,Yes,7,8,Male,26
474,7,48,Yes,9,9,Male,44
475,5,70,No,7,4,Male,53
476,3,80,Yes,7,4,Female,61
477,7,93,No,9,3,Male,84
478,2,65,Yes,6,2,Female,40
479,9,56,No,5,6,Female,53
480,1,95,No,5,4,Female,67
481,6,73,No,5,6,Male,58
482,7,48,No,4,1,Male,41
483,8,95,No,7,8,Male,89
484,9,90,No,5,8,Female,85
485,2,52,Yes,8,8,Male,33
486,2,44,Yes,6,4,Female,20
487,5,80,Yes,9,9,Male,66
488,5,52,Yes,9,8,Male,38
489,6,40,Yes,4,0,Male,25
490,3,64,Yes,9,1,Female,43
491,8,86,No,6,9,Female,79
492,1,43,Yes,7,4,Female,16
493,6,75,No,9,4,Female,67
494,4,91,No,9,5,Male,80
495,1,49,No,8,7,Male,26
496,7,67,No,7,0,Male,57
497,9,96,No,5,9,Female,91
498,4,45,No,6,8,Male,29
499,4,66,Yes,9,3,Female,48
500,6,95,No,8,7,Female,84
501,3,51,No,6,4,Male,33
502,6,91,Yes,4,0,Female,82
503,7,87,Yes,8,8,Female,81
504,3,42,Yes,4,7,Male,24
505,7,85,Yes,9,4,Female,81
506,3,72,Yes,8,3,Male,54
507,2,49,Yes,5,7,Female,25
508,4,70,Yes,6,8,Male,53
509,8,54,No,6,6,Male,48
510,9,46,Yes,7,3,Male,40
511,7,75,No,8,6,Male,66
512,1,53,Yes,8,5,Female,29
513,3,95,Yes,4,2,Male,73
514,9,87,No,8,9,Female,89
515,1,53,Yes,6,2,Female,27
516,9,42,Yes,8,0,Female,40
517,8,88,Yes,7,4,Male,83
518,1,92,Yes,7,7,Male,69
519,6,85,Yes,6,5,Male,72
520,5,89,Yes,6,7,Male,77
521,6,42,Yes,6,6,Female,32
522,5,61,No,8,1,Male,49
523,6,58,Yes,8,7,Female,44
524,5,74,No,5,3,Female,57
525,5,51,No,9,4,Male,34
526,4,93,No,9,7,Male,76
527,3,44,No,4,4,Female,22
528,3,49,No,8,4,Female,30
529,4,80,No,5,5,Male,67
530,9,72,No,5,6,Male,71
531,2,52,Yes,7,8,Male,29
532,9,74,Yes,8,6,Male,74
533,1,90,Yes,5,5,Male,67
534,1,71,No,7,9,Female,46
535,5,50,Yes,4,3,Male,34
536,6,87,No,7,9,Male,76
537,6,77,No,4,1,Male,64
538,3,63,Yes,9,8,Female,46
539,7,74,No,9,9,Female,68
540,9,58,No,6,4,Female,58
541,8,45,Yes,6,4,Female,41
542,6,79,No,7,2,Female,64
543,8,93,Yes,6,2,Male,84
544,5,84,No,8,0,Male,70
545,8,83,No,7,4,Male,77
546,4,81,Yes,5,2,Male,60
547,8,74,Yes,8,1,Male,65
548,2,43,Yes,7,8,Female,21
549,5,72,No,9,9,Female,60
550,9,52,No,4,5,Male,48
551,4,95,Yes,6,2,Male,77
552,6,75,Yes,6,6,Male,63
553,1,93,Yes,6,8,Female,68
554,9,82,No,7,8,Male,81
555,1,58,No,8,0,Male,29
556,5,82,Yes,4,1,Female,66
557,4,51,Yes,6,7,Female,36
558,3,50,Yes,8,0,Male,29
559,6,45,No,5,2,Female,32
560,2,51,Yes,9,6,Female,31
561,3,66,Yes,5,7,Male,45
562,5,80,Yes,4,4,Male,65
563,9,64,No,6,1,Male,57
564,2,81,No,5,2,Male,58
565,8,42,Yes,9,8,Female,38
566,2,42,No,8,9,Female,22
567,5,59,Yes,8,6,Female,48
568,7,67,Yes,5,0,Male,59
569,8,62,Yes,6,2,Male,58
570,1,87,Yes,9,8,Male,62
571,6,42,No,4,6,Male,30
572,1,81,Yes,6,1,Male,56
573,2,63,Yes,7,5,Female,40
574,1,82,No,5,8,Female,59
575,5,79,Yes,7,3,Female,65
576,9,45,No,5,9,Female,43
577,6,59,Yes,4,1,Male,48
578,1,50,Yes,6,2,Male,24
579,1,71,Yes,9,6,Male,51
580,2,99,Yes,6,3,Female,81
581,9,66,No,5,6,Female,62
582,3,60,Yes,8,4,Female,43
583,1,83,No,7,7,Female,63
584,5,87,No,9,7,Female,73
585,7,89,No,9,4,Male,76
586,6,52,Yes,6,6,Female,43
587,1,61,No,6,5,Male,34
588,5,74,No,5,7,Female,57
589,5,86,No,8,8,Female,72
590,6,61,Yes,7,4,Male,47
591,3,67,Yes,8,6,Male,52
592,5,60,No,9,0,Female,49
593,7,85,No,8,7,Male,77
594,5,57,Yes,5,2,Male,41
595,5,70,No,8,0,Female,56
596,5,99,No,7,5,Female,89
597,3,85,No,9,7,Female,65
598,1,76,Yes,4,2,Male,49
599,5,60,No,9,0,Male,48
600,9,53,No,4,2,Male,47
601,1,64,Yes,7,4,Female,37
602,3,66,No,9,7,Male,48
603,4,79,Yes,9,8,Male,61
604,1,99,Yes,9,8,Male,77
605,1,99,Yes,9,3,Female,75
606,8,62,No,5,7,Female,57
607,2,70,No,6,4,Female,45
608,8,86,No,9,2,Male,82
609,7,99,No,5,4,Female,90
610,2,68,No,7,1,Female,42
611,6,86,No,9,5,Male,74
612,6,69,No,8,0,Male,60
613,3,90,No,9,5,Female,73
614,2,65,Yes,9,4,Female,40
615,1,59,No,4,8,Male,32
616,6,77,No,8,6,Male,67
617,5,58,Yes,9,5,Female,46
618,9,66,No,9,6,Female,65
619,1,64,Yes,9,9,Female,42
620,7,79,No,5,4,Male,69
621,5,77,No,7,0,Male,62
622,5,91,Yes,4,8,Male,75
623,2,62,Yes,9,4,Female,40
624,3,68,No,7,3,Female,43
625,7,54,Yes,4,5,Female,42
626,6,98,No,4,4,Male,84
627,2,42,No,4,0,Male,15
628,6,49,No,9,1,Female,39
629,2,54,No,5,3,Male,26
630,2,95,No,9,7,Female,73
631,2,55,No,9,4,Male,34
632,3,56,Yes,7,6,Male,34
633,2,58,Yes,6,1,Female,37
634,4,50,Yes,6,7,Male,34
635,9,87,No,6,4,Female,85
636,6,44,Yes,7,3,Male,31
637,1,44,No,8,8,Female,18
638,8,97,Yes,7,5,Male,92
639,7,53,No,4,3,Male,44
640,3,89,No,9,7,Male,72
641,1,65,No,8,2,Female,40
642,5,47,No,4,9,Male,31
643,4,44,No,9,1,Female,25
644,8,46,Yes,9,6,Male,44
645,1,55,No,4,3,Male,27
646,1,94,Yes,7,3,Female,66
647,4,53,No,6,9,Male,34
648,8,76,No,8,8,Female,70
649,5,95,No,9,1,Female,81
650,2,80,Yes,5,0,Female,56
651,6,43,No,9,6,Female,30
652,5,75,Yes,6,7,Female,60
653,2,87,No,9,2,Male,64
654,3,95,Yes,5,1,Male,74
655,9,56,Yes,7,3,Male,52
656,7,86,Yes,9,1,Female,84
657,7,75,No,8,1,Female,66
658,6,45,No,7,4,Male,32
659,8,55,Yes,5,9,Male,47
660,4,68,No,4,4,Male,51
661,8,75,No,9,7,Male,67
662,4,77,No,7,8,Male,57
663,8,76,Yes,9,1,Female,71
664,9,87,Yes,8,0,Male,86
665,3,96,No,9,2,Male,77
666,3,87,Yes,7,5,Female,72
667,2,49,No,6,4,Male,24
668,3,80,No,7,7,Male,60
669,3,75,Yes,5,7,Female,55
670,5,68,Yes,7,1,Male,54
671,5,53,No,8,8,Male,39
672,2,43,No,7,3,Female,19
673,6,83,No,7,0,Female,68
674,5,95,Yes,8,1,Female,83
675,6,81,Yes,7,5,Female,72
676,1,75,No,8,4,Female,49
677,5,89,No,5,6,Female,74
678,9,84,Yes,8,8,Male,86
679,2,52,No,5,5,Female,26
680,1,85,Yes,5,5,Male,60
681,9,57,Yes,8,1,Female,54
682,9,72,No,7,6,Male,73
683,9,60,No,9,1,Male,61
684,6,55,Yes,6,6,Male,45
685,8,54,No,9,7,Male,57
686,1,93,Yes,8,0,Female,68
687,4,96,Yes,7,8,Male,72
688,1,44,Yes,5,7,Female,17
689,8,45,No,4,8,Male,37
690,1,77,No,6,4,Female,54
691,3,42,No,9,3,Female,22
692,4,87,Yes,7,0,Male,73
693,8,51,Yes,6,8,Male,47
694,6,75,Yes,4,3,Female,63
695,7,72,Yes,4,3,Male,63
696,8,75,No,4,3,Male,68
697,2,72,No,9,1,Male,52
698,8,70,No,8,3,Male,64
699,3,60,Yes,6,1,Female,38
700,7,66,Yes,8,7,Male,60
701,3,66,No,4,6,Male,45
702,7,47,Yes,7,9,Female,39
703,2,95,No,4,1,Male,75
704,6,76,Yes,8,1,Female,67
705,3,71,Yes,4,1,Male,48
706,3,65,Yes,4,0,Male,44
707,9,41,Yes,8,5,Male,37
708,7,51,Yes,8,5,Female,41
709,5,61,No,7,0,Female,47
710,7,56,No,8,0,Female,45
711,9,46,No,7,5,Male,43
712,1,82,Yes,5,5,Female,54
713,7,43,No,5,3,Female,32
714,6,76,No,8,2,Male,64
715,9,77,Yes,4,8,Male,74
716,1,71,Yes,6,5,Male,50
717,4,50,No,4,0,Female,33
718,9,40,No,8,2,Female,36
719,4,64,No,7,0,Female,45
720,3,81,No,4,2,Female,58
721,9,91,No,5,1,Male,85
722,2,63,Yes,9,4,Male,41
723,4,92,No,8,2,Female,78
724,6,82,No,4,6,Male,63
725,2,95,No,9,7,Female,76
726,8,56,No,4,6,Male,51
727,8,47,No,7,1,Female,36
728,1,98,No,7,9,Female,74
729,3,84,Yes,7,9,Male,65
730,9,66,Yes,9,6,Male,65
731,5,91,Yes,6,9,Female,79
732,6,57,No,9,2,Male,46
733,4,66,No,8,6,Female,47
734,2,61,Yes,8,0,Female,42
735,8,55,No,5,1,Male,46
736,6,41,No,5,9,Female,34
737,5,44,No,8,0,Male,27
738,9,57,Yes,4,8,Male,52
739,1,42,Yes,8,1,Male,17
740,5,66,Yes,6,1,Female,53
741,6,93,No,5,5,Female,84
742,5,56,Yes,5,6,Male,39
743,6,55,Yes,9,1,Male,44
744,6,45,Yes,5,3,Male,36
745,7,90,No,8,2,Female,81
746,4,46,Yes,5,4,Male,30
747,8,89,Yes,5,8,Female,80
748,7,53,No,9,1,Male,41
749,9,77,Yes,8,4,Female,77
750,7,79,No,4,7,Male,69
751,3,54,No,5,5,Female,34
752,3,86,Yes,5,3,Male,64
753,8,86,Yes,5,9,Male,78
754,5,87,Yes,6,7,Female,74
755,4,72,No,8,2,Male,52
756,8,82,Yes,5,3,Female,76
757,6,66,Yes,6,8,Male,53
758,2,68,Yes,4,4,Male,46
759,4,96,No,4,5,Female,77
760,4,76,No,9,1,Male,59
761,6,44,No,9,8,Male,35
762,6,68,Yes,9,7,Male,61
763,1,71,Yes,6,6,Female,46
764,8,99,No,4,8,Female,97
765,6,92,Yes,9,4,Male,86
766,3,45,Yes,7,4,Female,24
767,9,41,No,9,8,Male,37
768,2,45,No,4,4,Female,18
769,8,85,No,7,8,Female,84
770,3,82,Yes,6,0,Male,59
